foto_mes,T_EIMed,T_EIProm,T_ICC,T_IPC,T_IPC_INF,T_TC,T_TC_DEV
201812,,,,184.2552,,37.225,
201901,0.3,0.392,33.101078,189.6101,0.029062409,39.04545455,0.048904084
201902,0.3,0.368511394,36.039967,196.7501,0.037656222,38.4025,-0.016466822
201903,0.4,0.408,34.794621,205.9571,0.046795402,41.63947368,0.084290702
201904,0.4,0.406,34.411144,213.0517,0.034446979,44.27473684,0.063287619
201905,0.3,0.366,36.4725,219.5691,0.030590697,46.09545455,0.041123174
201906,0.3,0.345,40.574234,225.537,0.027180054,45.06333333,-0.022390954
201907,0.3,0.319,44.176544,230.494,0.021978655,43.98333333,-0.02396627
201908,0.3,0.347,41.862835,239.6077,0.039539858,54.84285714,0.246900882
201909,0.3,0.331,42.093285,253.7102,0.058856623,61.05952381,0.113354172
201910,0.3,0.312,43.772411,262.0661,0.032934821,65.54545455,0.073468158
201911,0.3,0.327,41.354538,273.2158,0.042545373,66.75,0.018377254
201912,0.3,0.316,42.348259,283.4442,0.037437074,72.36842105,0.084171102
202001,0.3,0.318,43.0345,289.8299,0.022528949,77.47727273,0.070595041
202002,0.3,0.358,42.734993,295.666,0.020136294,78.19166667,0.00922069
202003,0.3,0.338,41.23061,305.5515,0.033434686,82.43421053,0.054258261
202004,0.4,0.403,39.276279,310.1243,0.014965726,101.0875,0.226280926
202005,0.5,0.474,38.416435,314.9087,0.015427363,126.2368421,0.248787853
202006,0.4,0.445,39.469208,321.9738,0.022435392,125.8571429,-0.003007832
202007,0.4,0.431,38.183365,328.2014,0.019341946,130.7826087,0.03913537
202008,0.4,0.45,41.314079,337.0632,0.027001104,133.4,0.020013298
202009,0.4,0.433,40.309917,346.6207,0.028355216,137.9545455,0.03414202
202010,0.45,0.47,38.830296,359.657,0.037609698,170.6190476,0.236777281
202011,0.4,0.445,40.865082,371.0211,0.031597049,160.4,-0.059893944
202012,0.4,0.429,39.31897,385.8826,0.040055673,153.0526316,-0.045806536
202101,0.45,0.441,38.201382,401.5071,0.040490294,157.9,0.031671252
202102,0.45,0.452,37.766182,415.8595,0.035746317,149.3809524,-0.05395217
202103,0.5,0.463,38.194546,435.8657,0.048108075,143.6153846,-0.038596405
202104,0.5,0.479,35.335178,453.6503,0.040802935,146.25,0.018344938
202105,0.5,0.502,35.43507,468.725,0.033229781,153.55,0.04991453
202106,0.5,0.514,34.637596,483.6049,0.03174548,162,0.055030935
202107,0.5,0.491,37.861069,498.0987,0.029970333,178.4782609,0.10171766
202108,0.5,0.48,39.76358,510.3942,0.024684867,180.8787879,0.013449969
202109,0.5,0.486,40.519817,528.4968,0.03546788,184.4318182,0.019643156
202110,0.5,0.467,40.210735,547.0802,0.035162748,189.3157895,0.026481175
202111,0.5,0.504,39.69146,560.9184,0.025294646,200.5238095,0.059202775
202112,0.5,0.5131,37.765217,582.4575,0.038399703,200.5,-0.000118737
202201,0.5,0.511,40.139919,605.0317,0.038756819,212.0238095,0.057475359
202202,0.5,0.503,39.426281,633.4341,0.046943656,213.7105263,0.007955318
202203,0.5,0.537,36.913712,676.0566,0.067287978,201.6666667,-0.05635595
202204,0.5,0.522,39.092655,716.9399,0.060473191,717,2.555371901
202205,0.5,0.584,34.744396,753.147,0.050502281,710,-0.009762901
202206,0.5,0.579,37.046005,793.0278,0.052952213,720,0.014084507
202207,0.6,0.625,37.189381,851.761,0.074061969,720,0
202208,0.5,0.606,35.649963,911.1316,0.069703356,725,0.006944444
202209,0.6,0.617,35.146854,967.3076,0.061655199,730,0.006896552
202210,0.7,0.684,35.905445,1028.706,0.063473501,730,0
202211,0.8,0.724,38.519779,1079.2787,0.049161471,725,-0.006849315
202212,0.7,0.696,36.18,1134.5875,0.051246078,735,0.013793103
202301,0.7,0.702,38.193283,1202.979,0.060278736,735,0
202302,0.8,0.699,37.083359,1282.7091,0.066277217,735,0
202303,0.8,0.754,38.31155,1381.1601,0.076752398,740,0.006802721
202304,0.9,0.82,41.787384,1497.2147,0.084026899,750,0.013513514
202305,1,0.964,43.564861,1613.5895,0.07772753,738,-0.016
202306,1,0.941,44.06496,1709.6115,0.05950832,730,-0.010840108
202307,1,0.896,#?REF!,1818.0838,0.0634,725,-0.0068
202308,1,0.909,#?REF!,,-1,735,0.0138
